ds,yhat,yhat_lower,yhat_upper,y,cutoff
2007-09-28,38.71156027307124,38.34165467466939,39.112467924875006,38.89910507202149,2007-09-27
2007-10-01,39.035533946522705,38.643994533574265,39.396974964496316,39.15961456298828,2007-09-27
2007-10-02,39.12949150327359,38.74095650173818,39.54344193214178,39.10633850097656,2007-09-27
2007-10-03,39.376996495628546,38.941237822836364,39.75756398576377,39.13592529296875,2007-09-27
2007-10-04,39.53372358505492,39.10144757049443,39.959528823458164,39.141849517822266,2007-09-27
2007-10-05,39.64037540647065,39.202910387747615,40.05847518955493,39.22475051879883,2007-09-27
2007-10-08,39.99406964156302,39.54562679165171,40.43138956733342,39.08857727050781,2007-09-27
2007-10-09,40.088145326058566,39.62868178803796,40.532709038075865,39.22475051879883,2007-09-27
2007-10-10,40.35837763555163,39.86163829446028,40.826999930675896,38.97607421875,2007-09-27
2007-10-11,40.564800944597124,40.032710185405904,41.048312434245524,39.04711151123047,2007-09-27
2007-10-12,40.74972078386939,40.16994765780379,41.29884105285494,39.04120635986328,2007-09-27
2007-10-15,41.505065356964835,40.86059492820493,42.075723241264726,38.86949920654297,2007-09-27
2007-10-16,41.759233827095635,41.002500577975475,42.398316641164726,38.5261116027832,2007-09-27
2007-10-17,42.17467581944836,41.377321697043456,42.83073239546208,38.395843505859375,2007-09-27
2007-10-18,42.49747911799406,41.529036899788856,43.21641556668573,38.42543411254883,2007-09-27
2007-10-19,42.76422546571047,41.75273950127314,43.57574644948818,38.02876663208008,2007-09-27
2007-10-22,43.502346196547634,42.309794450622576,44.42532725709992,38.0938835144043,2007-09-27
2007-10-23,43.6287323441118,42.21144821751753,44.70947188549025,38.21822738647461,2007-09-27
2007-10-24,43.85488345272789,42.332353642244016,45.0229722801893,38.153099060058594,2007-09-27
2007-10-25,43.95193548460289,42.25942893951184,45.18599994210181,37.862979888916016,2007-09-27
2007-10-26,43.99344710285895,42.20986257144599,45.384211841173865,38.07020950317383,2007-09-27
2007-10-29,44.29948897704563,42.21883240831611,45.90467490996262,38.47281265258789,2007-09-27
2007-10-30,44.36699953199863,42.12952520851174,46.21940894761586,38.37808227539063,2007-09-27
2007-10-31,44.563076652341614,42.12258035439473,46.43731711693198,38.58530426025391,2007-09-27
2007-11-01,44.6512736095835,42.08853767241094,46.749355670752124,38.28335952758789,2007-09-27
2007-11-02,44.69483147713742,41.900395376060025,46.91893703822239,38.35439682006836,2007-09-27
2007-11-05,44.88948657421827,41.77183675835746,47.29156332819862,38.18270111083984,2007-09-27
2007-11-06,44.8436967819298,41.56721577729931,47.531086347069014,38.253753662109375,2007-09-27
2007-11-07,44.90604822224294,41.49865606205432,47.755211629322005,37.83928680419922,2007-09-27
2007-11-08,44.864067338940714,40.99245416818546,47.74554552401786,38.24189376831055,2007-09-27
2007-11-09,44.8007757169795,40.735938915022686,47.91489716583339,38.57938003540039,2007-09-27
2007-11-12,44.89237533597062,40.586548770106454,48.14125224693155,39.260250091552734,2007-09-27
2007-11-13,44.89360157867409,40.35973875685922,48.41667708039982,39.852333068847656,2007-09-27
2007-11-14,45.0414502838871,40.281657544102245,48.543561811795904,39.60367202758789,2007-09-27
2007-11-15,45.11049516689533,40.00099922584205,48.85906098147078,39.59774398803711,2007-09-27
2007-11-16,45.165378040421444,39.88539726660553,49.20894062786888,40.11285400390625,2007-09-27
2007-11-19,45.51898119461758,39.895224636074424,49.763278793772535,40.01812744140625,2007-09-27
2007-11-20,45.55502146791806,39.61161485364637,49.75308657078251,40.04773712158203,2007-09-27
2007-11-21,45.69600180030372,39.640973593122034,50.36836307646458,39.751686096191406,2007-09-27
2007-11-22,45.70195656922355,39.370351303738445,50.55179106530568,39.79786109924317,2007-09-27
2007-11-23,45.63328239283543,39.1626438449867,50.72723272570099,39.84403610229492,2007-09-27
2007-11-26,45.472228062872276,38.74410772714311,50.62780633933037,40.13595581054688,2007-09-27
2007-11-27,45.39087169570165,38.48192478281632,50.87154128809856,40.35041427612305,2007-09-27
2007-11-28,45.46459916516438,38.32522774098978,51.092014699385864,40.71977996826172,2007-09-27
2007-11-29,45.444637542652,38.159272423947364,51.25902671792153,40.74957275390625,2007-09-27
2007-11-30,45.380190788919045,37.69609058507011,51.356872999065615,40.35637283325195,2007-09-27
2007-12-03,45.32094187159854,37.43266183792709,51.621064565590466,40.3385124206543,2007-09-27
2007-12-04,45.25405600970877,37.11279571652979,51.775521123169135,40.475528717041016,2007-09-27
2007-12-05,45.30112493884201,37.21107887095752,51.98472604357121,40.63636779785156,2007-09-27
2007-12-06,45.20702751280152,36.86432383370823,52.082804213347885,40.69001007080078,2007-09-27
2007-12-07,45.03306672385638,36.34409771565484,52.381921795772584,40.32063674926758,2007-09-27
2007-12-10,44.667925761946364,35.619172698128715,52.061094760051425,40.386173248291016,2007-09-27
2007-12-11,44.56072548252451,35.25454698557677,52.170545651627485,40.2431869506836,2007-09-27
2007-12-12,44.609699079202194,35.21498897682718,52.35056416410481,40.33253860473633,2007-09-27
2007-12-13,44.563070709426846,34.843797635478964,52.76678499315922,40.4338264465332,2007-09-27
2007-12-14,44.483194210910085,34.3279504355152,52.992793066021704,40.26700973510742,2007-09-27
2007-12-17,44.576366028060306,34.3470916836792,53.30631966881215,40.2431869506836,2007-09-27
2007-12-18,44.6278545564747,34.08052204581385,53.611797528184354,40.3385124206543,2007-09-27
2007-12-19,44.823069398294535,33.77333935496815,53.99073680825296,40.10617065429688,2007-09-27
2007-12-20,44.905597968949884,33.55549401229124,54.42921015742975,40.112117767333984,2007-09-27
2007-12-21,44.92864700099463,33.2508361783132,54.709234655186094,40.52915191650391,2007-09-27
2007-12-24,45.05151151070429,33.14114109773895,55.22276988524873,40.4338264465332,2007-09-27
2007-12-25,45.03480928677448,32.654408981601335,55.205257065418294,40.34148216247559,2007-09-27
2007-12-26,45.16896885865284,32.27954516120344,56.001392361811064,40.24913787841797,2007-09-27
2007-12-27,45.22615738021511,31.831221371577065,56.36952927712014,40.112117767333984,2007-09-27
2007-12-28,45.27175171258013,31.735543634204493,56.74996942576334,40.14189910888672,2007-09-27
2007-12-31,45.663531035975005,31.490858328782203,57.35875519600574,39.73679733276367,2007-09-27
2008-01-01,45.76175092842333,31.126088879139306,57.653749921085286,39.50147247314453,2007-09-27
2008-01-02,46.002677484763936,31.045943735055587,58.311894512703816,39.26614761352539,2007-09-27
2008-01-03,46.13728329073007,30.991202694829948,58.36711239429615,39.27805709838867,2007-09-27
2008-01-04,46.2075828622833,30.933113812620206,59.03453755768955,39.22444152832031,2007-09-27
2008-01-07,46.29030186255771,30.507940299634647,59.523082841989115,39.83210372924805,2007-09-27
2008-01-08,46.209913853300385,30.23738101773843,59.607977803752625,39.87977981567383,2007-09-27
2008-01-09,46.2720421823639,29.947987603784593,59.78007966585657,40.39212417602539,2007-09-27
2008-01-10,46.23965977278609,29.8545118366535,60.19385656035652,40.45765686035156,2007-09-27
2008-01-11,46.161630363844786,29.363951774975195,60.657996017881516,40.43978118896485,2007-09-27
2008-01-14,45.962642857552055,29.12724005427857,60.3219592729431,40.48148727416992,2007-09-27
2008-01-15,45.83955122134923,28.770189723221815,60.536400852185814,40.36830139160156,2007-09-27
2008-01-16,45.86625802759296,27.938218488521198,60.802744227058625,40.69596099853516,2007-09-27
2008-01-17,45.79227807040131,27.481747914786286,60.77890270769821,40.40999221801758,2007-09-27
2008-01-18,45.660865111994895,27.278239858032624,61.17416320037169,39.49253845214844,2007-09-27
2008-01-21,45.21488624509139,26.780039023287816,60.75110892716189,39.188697814941406,2007-09-27
2008-01-22,44.954812395330336,25.978347088375106,60.745022352018516,38.884857177734375,2007-09-27
2008-01-23,44.8081631947139,25.6574000993817,60.748589457131004,38.247406005859375,2007-09-27
2008-01-24,44.54042944928774,24.90779278931757,60.82882503989104,37.83633804321289,2007-09-27
2008-01-25,44.2281263596942,24.322715950267153,60.5012604764044,37.21079254150391,2007-09-27
2008-01-28,43.60854763753557,23.332134056750593,60.01351961660177,37.5742073059082,2007-09-27
2008-01-29,43.431506953710375,23.090010019133253,60.531151984608606,37.51463317871094,2007-09-27
2008-01-30,43.41990266768816,22.985355703121378,60.52582402813301,37.04399108886719,2007-09-27
2008-01-31,43.32667553383004,22.402578564356112,60.947971058243866,37.61589813232422,2007-09-27
2008-02-01,43.21589015627376,21.970094945825743,61.027239579978925,37.74698257446289,2007-09-27
2008-02-04,43.149565351270944,21.277364511259464,61.32005619258998,37.81252670288086,2007-09-27
2008-02-05,43.07189867292578,21.254136859883264,61.58998352301617,37.455055236816406,2007-09-27
2008-02-06,43.116023496187616,20.982184655138056,61.919517289278566,37.562286376953125,2007-09-27
2008-02-07,43.05462124889184,20.26849722323244,62.36314332102321,37.4193115234375,2007-09-27
2008-02-08,42.97292436684871,19.718976267939397,62.41819350615939,36.95462417602539,2007-09-27
2008-02-11,43.075601733844934,19.2630709138281,62.69353173721646,36.86526107788086,2007-09-27
2008-02-12,43.09174003174658,19.054929097462022,63.23377521340275,37.51463317871094,2007-09-27
2008-02-13,43.25037030840838,18.285235243196624,63.539255807455305,37.77676010131836,2007-09-27
2008-02-14,43.31667140997856,18.40353224607877,63.994224407474285,37.40739440917969,2007-09-27
2008-02-15,43.36114500069622,17.925326006388392,64.31953889803472,37.472938537597656,2007-09-27
2008-02-18,43.69473291057069,17.840378812887757,65.4828601167032,37.69932174682617,2007-09-27
2008-02-19,43.72168036301663,17.324578429711785,65.73958398657514,37.92570495605469,2007-09-27
2008-02-20,43.85179378979921,17.092873607921295,66.40829312228394,37.66953659057617,2007-09-27
2008-02-21,43.8386785342282,17.11017442204879,66.67373397446735,37.52058029174805,2007-09-27
2008-02-22,43.7453425884101,16.299166228706397,66.79316846260537,37.889404296875,2007-09-27
2008-02-25,43.48581995341826,16.09794717348945,66.67494017291922,38.29121398925781,2007-09-27
2008-02-26,43.368780758495966,15.325480097647132,66.61934586518117,38.21324157714844,2007-09-27
2008-02-27,43.4217361410903,15.230862843813483,67.39957060216369,37.80545425415039,2007-09-27
2008-02-28,43.39567129399621,14.155992706649357,67.70956648282406,37.6075439453125,2007-09-27
2008-02-29,43.34255772584918,13.818204354197713,67.85979467700943,37.15777969360352,2007-09-27
2008-03-03,43.4168249138999,13.616578800910526,68.44940908982423,37.31968307495117,2007-09-27
2008-03-04,43.43391227694046,13.002820242935918,68.51372233764187,37.56557083129883,2007-09-27
2008-03-05,43.595282934522196,12.939965648697893,69.23014804656941,37.85940933227539,2007-09-27
2008-03-06,43.63421025893829,11.905100633417588,69.84685474118552,37.559566497802734,2007-09-27
2008-03-07,43.60241874662184,12.150079389134492,70.17883781666752,36.88789367675781,2007-09-27
2008-03-10,43.66090025489188,11.69608754307801,70.62618702166007,36.77995681762695,2007-09-27
2008-03-11,43.70045771471596,11.066297080990715,70.88002107322157,37.44560241699219,2007-09-27
2008-03-12,43.90780944787307,11.144015191147991,71.6763605037953,37.5115966796875,2007-09-27
2008-03-13,44.01681478096179,10.894857873004161,72.31163359161863,37.667518615722656,2007-09-27
2008-03-14,44.079803733092376,10.147908468400297,72.3732537514128,37.571571350097656,2007-09-27
2008-03-17,44.486621794736756,10.532543949160603,73.63129189021036,38.40516662597656,2007-09-27
2008-03-18,44.60853408805517,10.518657664573585,74.07604889713122,39.16677474975586,2007-09-27
2008-03-19,44.86128379556817,9.995715511866853,75.0425505714238,38.90888595581055,2007-09-27
2008-03-20,44.9755534056212,9.584866694952584,75.5077324324084,39.20877456665039,2007-09-27
2008-03-21,44.99989836989242,9.412858546044719,76.14796133743643,39.06183433532715,2007-09-27
2008-03-24,44.93065455119073,9.394412511493611,76.27046185233651,38.91489410400391,2007-09-27
2008-03-25,44.777723592765454,9.138082557749046,76.63592719898693,38.71100616455078,2007-09-27
2008-03-26,44.742419833413365,8.628445132912779,76.98534785741874,38.80096054077149,2007-09-27
2008-03-27,44.59438788003516,8.137130327791258,76.87889052153335,38.75299453735352,2007-09-27
2008-03-28,44.409372336527596,7.860767403658275,76.99749624780065,38.48911285400391,2007-09-27
2008-03-31,44.046251737998745,7.292046539122026,77.20868781224496,38.90290832519531,2007-09-27
2008-04-01,43.87868855544287,7.822583760119214,77.24132646021003,39.50261306762695,2007-09-27
2008-04-02,43.85683412159889,7.026656271261444,77.55143766750686,39.16677474975586,2007-09-27
2008-04-03,43.73489595296717,6.952765822369757,77.75670272561273,39.14278411865234,2007-09-27
2008-04-04,43.56683857175814,6.347379228129759,78.17040741220697,39.41866302490234,2007-09-27
2008-04-07,43.06732732524696,6.237971417588383,77.58783821963408,39.66455078125,2007-09-27
2008-04-08,42.821662130433644,5.879671467443574,77.629299262969,39.77248001098633,2007-09-27
2008-04-09,42.742055879194936,5.581595316322017,77.74892004220621,39.75448989868164,2007-09-27
2008-04-10,42.5966957869114,4.981012461588986,77.82929971201013,39.77848815917969,2007-09-27
2008-04-11,42.44525880251668,4.276900717081337,77.78090035486525,39.58057403564453,2007-09-27
2008-04-14,42.250221074860484,4.297744213186499,77.98261717079546,39.42463684082031,2007-09-27
2008-04-15,42.18071871249692,3.6034966280811225,78.1851117602684,39.370697021484375,2007-09-27
2008-04-16,42.29224121718872,3.252731092830608,78.90093953742577,39.40066146850586,2007-09-27
2008-04-17,42.3321434148455,2.542723271659499,79.1202636881826,39.4366455078125,2007-09-27
2008-04-18,42.34531011798244,2.214662189946448,79.30667250393648,39.88642120361328,2007-09-27
