Stock,RMSE,MAE
Apple,221.36153639453312,173.78208070026554
GeneralElectric,87.88271669367333,63.91964293521512
IBM,71.4435156224981,52.06272128280694
Johnson&Johnson,22.930596294165234,18.540887492124952
Microsoft,272.58916930317395,224.31337154467238
