ds,yhat,yhat_lower,yhat_upper,y,cutoff
2007-09-28,4.870618024586586,4.856263452230745,4.8850373570758485,4.859082436684373,2007-09-27
2007-10-01,4.884321512314546,4.870738004984344,4.897725519574679,4.873946951819722,2007-09-27
2007-10-02,4.886501227608499,4.87277097051653,4.900796317781468,4.876323975012313,2007-09-27
2007-10-03,4.891092891300624,4.877504774739869,4.9051277642877515,4.862698534012696,2007-09-27
2007-10-04,4.8941868180944565,4.879605963144787,4.9083205841807676,4.866302659961635,2007-09-27
2007-10-05,4.8974210836516985,4.881468917737951,4.912035434787182,4.867979555896181,2007-09-27
2007-10-08,4.905648733381083,4.889720181764696,4.921373677704426,4.862217087478969,2007-09-27
2007-10-09,4.905597063362372,4.890469461124539,4.921205697989407,4.873946951819722,2007-09-27
2007-10-10,4.908554942859417,4.892261532540706,4.922947240818165,4.868937040209685,2007-09-27
2007-10-11,4.910377111007775,4.893560624484703,4.926728168091539,4.863901196139093,2007-09-27
2007-10-12,4.912312497729115,4.8941135733619925,4.929363532650992,4.850105149001455,2007-09-27
2007-10-15,4.919019701470217,4.90045910014991,4.936438643896533,4.844973265789037,2007-09-27
2007-10-16,4.920586559076841,4.901741858252129,4.938556410129904,4.843747488665461,2007-09-27
2007-10-17,4.925372191083769,4.904598000967479,4.944743110240399,4.849373377152923,2007-09-27
2007-10-18,4.92796953386716,4.906290125597512,4.949178822534736,4.844238508457078,2007-09-27
2007-10-19,4.928898175405228,4.905643987829958,4.951083525717242,4.825680145488599,2007-09-27
2007-10-22,4.926261633043251,4.901134547689868,4.949527930877207,4.828922133734622,2007-09-27
2007-10-23,4.9243856449691,4.8996943474371175,4.949054762124338,4.836609251275069,2007-09-27
2007-10-24,4.925497679978335,4.898025552526314,4.953992663484331,4.8304141909370655,2007-09-27
2007-10-25,4.924271743367925,4.893628427913689,4.952673276215667,4.828672620649874,2007-09-27
2007-10-26,4.921944163968746,4.889493194025939,4.955304972352962,4.834135988454197,2007-09-27
2007-10-29,4.919659038700914,4.885296627212759,4.953244697036414,4.838583696253681,2007-09-27
2007-10-30,4.920024477167217,4.880950514487663,4.956593099992909,4.836609251275069,2007-09-27
2007-10-31,4.922932634034928,4.88015116665469,4.963862368474325,4.853268439210425,2007-09-27
2007-11-01,4.922916731449358,4.878655802430942,4.966183510255815,4.833145308161745,2007-09-27
2007-11-02,4.921693800022869,4.872922975452787,4.970701306174017,4.83289708974722,2007-09-27
2007-11-05,4.923594791603341,4.869400311680097,4.972593626234967,4.829668471091418,2007-09-27
2007-11-06,4.9242285285426455,4.867062438511561,4.978096623252945,4.829170730818278,2007-09-27
2007-11-07,4.926686533770513,4.867325708579492,4.9828950808449,4.801412018341435,2007-09-27
2007-11-08,4.926166856385421,4.865171599119012,4.987787796596053,4.79987570690777,2007-09-27
2007-11-09,4.924963451364792,4.860820346392368,4.985637295463826,4.783337822828197,2007-09-27
2007-11-12,4.928640842584378,4.85691477808476,4.995043981613458,4.779945270704972,2007-09-27
2007-11-13,4.929986165221306,4.85602174446445,4.9988092669562985,4.804732951471788,2007-09-27
2007-11-14,4.934007585007473,4.856702022575166,5.003270273243933,4.799619592874706,2007-09-27
2007-11-15,4.9362299720115805,4.853063657445909,5.011054821137238,4.781511844843795,2007-09-27
2007-11-16,4.938415726445088,4.854119763278498,5.020401392443752,4.790347983428422,2007-09-27
2007-11-19,4.945311427889174,4.857060086077378,5.027951717777783,4.777589385682497,2007-09-27
2007-11-20,4.944555625445952,4.853279374073159,5.033493572297347,4.774439697376733,2007-09-27
2007-11-21,4.945982649660679,4.851868502794716,5.0394279167896725,4.751303166130987,2007-09-27
2007-11-22,4.9455070258091425,4.846000357826413,5.04278611406865,4.75800668958845,2007-09-27
2007-11-23,4.944762716213183,4.840513792624065,5.048721828682313,4.764665574886074,2007-09-27
2007-11-26,4.942887493256501,4.834045815791429,5.0496540680646795,4.73939493597841,2007-09-27
2007-11-27,4.941717042928509,4.828395987711918,5.052734047994632,4.758808082648571,2007-09-27
2007-11-28,4.944577944503644,4.830935785781811,5.061211482438085,4.785420125196726,2007-09-27
2007-11-29,4.946527531396484,4.825262267596339,5.069851131532852,4.777065029708574,2007-09-27
2007-11-30,4.948119902583247,4.821937482443949,5.0743853450015415,4.78099005408655,2007-09-27
2007-12-03,4.950842590771533,4.821185481146472,5.08382693173921,4.74482590828171,2007-09-27
2007-12-04,4.951572975424861,4.819027714462183,5.090483323498679,4.726240861559257,2007-09-27
2007-12-05,4.956276428209751,4.817601737481394,5.099593982926277,4.738850626800035,2007-09-27
2007-12-06,4.959389391603226,4.815298671357791,5.107320996466429,4.753722184074428,2007-09-27
2007-12-07,4.961300009654484,4.812350086069175,5.116695067237158,4.752916341199909,2007-09-27
2007-12-10,4.965242179236828,4.815776754473098,5.125473549930526,4.757739393954107,2007-09-27
2007-12-11,4.967331133426365,4.812227869021263,5.127780036466737,4.747529447147938,2007-09-27
2007-12-12,4.973363204733128,4.817196242721818,5.14212246581294,4.753453641930098,2007-09-27
2007-12-13,4.977764456881991,4.812084865900671,5.150768601534085,4.762273177210472,2007-09-27
2007-12-14,4.981477273722318,4.812580398814052,5.161184450350776,4.744283950546722,2007-09-27
2007-12-17,4.996182220449531,4.823607633208105,5.176854191128936,4.73256541831613,2007-09-27
2007-12-18,5.000957668813834,4.815198306281828,5.189341740566025,4.74129918647951,2007-09-27
2007-12-19,5.00765340564601,4.8268271528599405,5.203311877667457,4.735029933187055,2007-09-27
2007-12-20,5.010880348401824,4.824522728021571,5.206675244006364,4.742174649324729,2007-09-27
2007-12-21,5.012381221168159,4.814252145393749,5.213984164308339,4.759008404197383,2007-09-27
2007-12-24,5.018143628612373,4.8145285972503125,5.232450444284787,4.769454565895897,2007-09-27
2007-12-25,5.019007655875813,4.808616155125451,5.2356652408318105,4.769721272811289,2007-09-27
2007-12-26,5.022052814222457,4.805255145833396,5.243962178600439,4.769987908613068,2007-09-27
2007-12-27,5.022861684375991,4.802736048290505,5.254093597592612,4.760354789837007,2007-09-27
