Date,Actual,Forecast
2021-07-21,142.2911682128906,137.6288196817904
2021-07-22,143.66125488281253,137.25673791018417
2021-07-23,145.38362121582037,136.7731241704714
2021-07-26,145.80445861816403,137.90973939012832
2021-07-27,143.63191223144537,138.36180594337029
2021-07-28,141.88017272949224,145.55136382143823
2021-07-29,142.52604675292974,146.89302687663823
2021-07-30,142.74137878417972,137.7223712716487
2021-08-02,142.40861511230472,140.70923286773422
2021-08-03,144.2093048095703,141.65189610772296
2021-08-04,143.80802917480474,142.11936795112624
2021-08-05,143.9156951904297,142.19315109894785
2021-08-06,143.22962951660153,142.3499381663944
2021-08-09,143.18064880371097,144.40370718210804
2021-08-10,142.7004089355469,144.97118292292024
2021-08-11,142.95520019531256,145.50150222367864
2021-08-12,145.92486572265628,145.97234524176625
2021-08-13,146.13069152832028,146.5137976516832
2021-08-16,148.1104736328125,148.13773822901047
2021-08-17,147.19895935058597,148.60002423733457
2021-08-18,143.44528198242188,149.18546811192704
2021-08-19,143.77848815917972,149.6091355988447
2021-08-20,145.23881530761713,149.7703607316895
2021-08-23,146.72854614257815,149.73560216654647
2021-08-24,146.6403198242187,150.21195422828418
2021-08-25,145.40544128417966,150.90418664213024
2021-08-26,144.60174560546878,151.2217773148491
2021-08-27,145.64068603515625,150.99910146096894
2021-08-30,150.0706176757813,150.53831181414841
2021-08-31,148.80636596679688,151.41616956282996
2021-09-01,149.47274780273432,152.4874719904509
2021-09-02,150.59007263183588,153.04795243254858
2021-09-03,151.22711181640622,153.0070851521279
2021-09-06,152.39831542968744,152.92284327942775
2021-09-07,153.5695190429687,153.31843283077825
2021-09-08,152.0210113525391,153.56734433731103
2021-09-09,151.00175476074224,153.33953180884123
2021-09-10,146.00326538085932,152.93252710173985
2021-09-13,146.57170104980466,153.52882406861053
2021-09-14,145.17024230957037,153.769257850707
2021-09-15,146.0620727539062,153.68186735606847
2021-09-16,145.82685852050784,153.24012420972096
2021-09-17,143.15124511718756,152.8698292051669
2021-09-20,140.09339904785162,153.02082677086457
2021-09-21,140.5736083984375,152.67428034254618
2021-09-22,142.94541931152344,152.21827949683475
2021-09-23,143.90588378906256,151.8157958243034
2021-09-24,143.9941253662109,151.74906797835814
2021-09-27,142.47497558593753,151.88549963365136
2021-09-28,139.0838775634765,151.44904397534842
2021-09-29,139.98556518554688,151.25944371556596
2021-09-30,138.6820373535156,151.44707063137142
2021-10-01,139.80914306640625,152.06602108275206
2021-10-04,136.36909484863276,153.77035663829255
2021-10-05,138.29980468750003,153.86837667419394
2021-10-06,139.1720733642578,154.08539751658105
2021-10-07,140.4363861083985,154.30736769685814
2021-10-08,140.05416870117188,154.530215185546
2021-10-11,139.9659881591797,155.5357832665356
2021-10-12,138.69184875488278,156.2194252398085
2021-10-13,138.10379028320318,157.02999589660152
2021-10-14,140.8970336914062,157.52091741639796
2021-10-15,141.955551147461,157.68380521622535
2021-10-18,143.63148498535153,158.93618235265959
2021-10-19,145.79745483398443,159.7741170077744
2021-10-20,146.28752136230472,160.3640917865041
2021-10-21,146.50312805175778,160.29028727034765
2021-10-22,145.72886657714844,159.87641275147985
2021-10-25,145.6798400878906,161.1180850887551
2021-10-26,146.34634399414062,161.85078624386335
2021-10-27,145.88569641113284,161.9953937059215
2021-10-28,149.53160095214847,169.96899070059052
2021-10-29,146.81675720214847,171.34286888574476
2021-11-01,145.9934844970703,162.48703546208392
2021-11-02,147.03237915039065,163.2945239116432
2021-11-03,148.473129272461,163.44338558947007
2021-11-04,147.95367431640628,162.8768686621731
2021-11-05,148.4836883544922,162.1927652582508
2021-11-08,147.65921020507818,162.10050032921777
2021-11-09,148.0223541259766,161.97452566034747
2021-11-10,145.18579101562494,161.686628770709
2021-11-11,145.13670349121094,161.27029552091278
2021-11-12,147.217529296875,161.01641690948003
2021-11-15,147.22732543945312,160.99574920861048
2021-11-16,148.20884704589838,160.85674397695544
2021-11-17,150.65286254882815,160.8561093862808
2021-11-18,154.95185852050784,160.83450821784075
2021-11-19,157.58229064941403,160.75653264973204
2021-11-22,158.0436553955078,160.1457004619775
2021-11-23,158.42643737792974,160.32587128078453
2021-11-24,158.94664001464838,160.90347793828735
2021-11-25,156.42904663085932,161.35928354313384
2021-11-26,153.91145324707028,161.42015731051822
2021-11-29,157.27804565429688,160.96815542216592
2021-11-30,162.2445526123047,161.7330409910713
2021-12-01,161.72431945800787,162.9422132801658
2021-12-02,160.7330169677734,163.85731194909178
2021-12-03,158.84849548339847,164.19440310534824
2021-12-06,162.26416015624994,164.22354567188125
2021-12-07,168.01582336425787,164.5923341497037
2021-12-08,171.84374999999994,164.9079523937116
2021-12-09,171.33340454101565,164.7156253294865
2021-12-10,176.13294982910156,164.21131030923172
2021-12-13,172.4915313720703,164.32615898316402
2021-12-14,171.10762023925784,164.59274308577852
2021-12-15,175.98574829101565,164.5108089049782
2021-12-16,169.0758514404296,163.93039820353908
2021-12-17,167.976577758789,163.32317307731515
2021-12-20,166.61227416992193,163.4840082443804
2021-12-21,169.7923583984375,163.2766126927082
2021-12-22,172.39340209960935,162.79533274159428
2021-12-23,173.02157592773443,162.22106511290164
2021-12-24,175.00914764404303,162.0403376741924
2021-12-27,176.99671936035156,163.0797735332701
2021-12-28,175.9759368896484,162.8219408042469
2021-12-29,176.06425476074213,162.54856359148536
2021-12-30,174.9060516357422,162.5508729690977
2021-12-31,174.28771972656247,163.142001295416
2022-01-03,178.64561462402347,165.7709579631623
2022-01-04,176.37835693359375,165.8816726795777
2022-01-05,171.6867065429687,165.8883088159638
2022-01-06,168.82070922851565,165.82619622466038
2022-01-07,168.98753356933594,165.81760813738657
2022-01-10,169.00714111328122,165.80840073702885
2022-01-11,171.84374999999994,165.8563590733437
2022-01-12,172.2854614257812,166.02928822300436
2022-01-13,169.00714111328122,165.9354320306551
2022-01-14,169.87092590332034,165.5166012496085
2022-01-17,168.26614379882812,164.34833494194424
2022-01-18,166.661361694336,164.388882983281
2022-01-19,163.15730285644534,164.35084266172476
2022-01-20,161.46913146972653,163.72206163928502
2022-01-21,159.40795898437497,162.67492653416252
2022-01-24,158.6325378417969,161.81705069783754
2022-01-25,156.82656860351568,162.31871885127575
2022-01-26,156.73818969726568,162.4793522112924
2022-01-27,156.27691650390625,161.8875569377095
2022-01-28,167.18154907226557,161.03786587073185
2022-01-31,171.54928588867182,162.77616052460476
2022-02-01,171.38240051269526,164.21387173119226
2022-02-02,172.5896911621094,165.16982312580683
2022-02-03,169.70405578613273,165.33925769106452
2022-02-04,169.41903686523438,165.2437568035237
2022-02-07,168.70162963867185,167.2677966288497
2022-02-08,171.81703186035156,168.03490860266788
2022-02-09,173.24200439453125,168.5199588588324
2022-02-10,169.1537017822266,168.7098343704082
2022-02-11,165.73367309570315,169.00833389975568
2022-02-14,165.96954345703125,170.88058601416327
2022-02-15,169.81216430664062,171.09651054347094
2022-02-16,169.57630920410156,171.22701905738808
2022-02-17,165.96954345703125,171.23684408417674
2022-02-18,164.41677856445315,171.22842385212743
2022-02-21,162.95245361328122,170.33937183661973
2022-02-22,161.48812866210938,169.94036509819838
2022-02-23,157.31135559082028,169.89323182814033
2022-02-24,159.93537902832034,169.86073899191445
2022-02-25,162.0090026855469,169.5955065233279
2022-02-28,162.27435302734378,167.4147985291725
2022-03-01,160.38743591308597,167.2753314585577
2022-03-02,163.68951416015625,167.77429493697502
2022-03-03,163.36521911621088,168.30287227586018
2022-03-04,160.3579254150391,168.4924697749383
2022-03-07,156.55464172363284,167.818578271607
2022-03-08,154.72669982910153,167.95393129471134
2022-03-09,160.14172363281253,168.25587064420148
2022-03-10,155.78808593750006,168.22530066291606
2022-03-11,152.06340026855474,167.92266166999917
2022-03-14,148.0242156982422,168.6794786881539
2022-03-15,152.41720581054688,169.45552497650766
2022-03-16,156.83961486816403,169.99297800534373
2022-03-17,157.85188293457037,169.96715893539815
2022-03-18,161.15399169921872,169.78185323578634
2022-03-21,162.52987670898432,171.49660481766293
2022-03-22,165.91056823730463,171.97851495383995
2022-03-23,167.276596069336,172.0075508001539
2022-03-24,171.07011413574224,171.66952963362994
2022-03-25,171.70889282226568,171.59604193116033
2022-03-28,172.57373046875006,173.85245063591503
2022-03-29,175.8758239746094,173.9637648121385
2022-03-30,174.7063446044922,173.72180586558116
2022-03-31,171.60078430175776,173.49628149899408
2022-04-01,171.30595397949216,173.89412937928927
2022-04-04,175.36477661132815,177.45149019248024
2022-04-05,172.0430145263672,177.84903610463994
2022-04-06,168.86868286132818,177.93205689575566
2022-04-07,169.17333984375003,177.8744763131718
2022-04-08,167.15866088867193,178.0066770355034
2022-04-11,162.89347839355466,179.19906288474013
2022-04-12,164.7705688476562,179.59234915230604
2022-04-13,167.46334838867182,180.17450939193336
2022-04-14,162.441390991211,180.65202623137077
2022-04-15,162.33329010009766,180.96675682285593
2022-04-18,162.22518920898435,181.87744430561045
2022-04-19,164.5150299072265,182.5955538904487
2022-04-20,164.34796142578125,183.40016211062857
2022-04-21,163.55191040039057,183.67967512566702
2022-04-22,159.00170898437503,183.42307217401344
2022-04-25,160.072982788086,183.91374097272026
2022-04-26,154.09771728515628,185.01030978819367
2022-04-27,153.8716583251953,185.88923518543584
2022-04-28,160.81986999511713,185.83998604634056
2022-04-29,154.93307495117193,185.14491478707032
2022-05-02,155.23771667480466,186.29092810991185
2022-05-03,156.73153686523435,187.8501823757641
2022-05-04,163.15882873535153,188.98461580447352
2022-05-05,154.06823730468756,189.07745052760816
2022-05-06,154.7965393066406,188.55221049482356
2022-05-09,149.65898132324216,188.8742545985887
2022-05-10,152.07028198242188,189.2467699991435
2022-05-11,144.18676757812506,189.25652775938858
2022-05-12,140.30897521972653,188.79849453377375
2022-05-13,144.78712463378906,188.40884140805608
2022-05-16,143.24192810058588,189.3410071424829
2022-05-17,146.88351440429685,189.39298090043627
2022-05-18,138.59648132324216,189.28068389818475
2022-05-19,135.1812438964844,189.0618716735333
2022-05-20,135.4174652099609,189.04063797704748
2022-05-23,140.85032653808588,189.2600569927147
2022-05-24,138.14369201660153,189.09630812027905
2022-05-25,138.30120849609378,189.2867641558822
2022-05-26,141.50971984863284,189.69777293902277
2022-05-27,147.2771759033203,190.19267085089922
2022-05-30,146.88350677490237,190.27588408716701
2022-05-31,146.48983764648435,190.44628144516824
2022-06-01,146.36187744140628,191.3387087638221
2022-06-02,148.82241821289062,192.5142135826209
2022-06-03,143.08447265624997,193.57122104358842
2022-06-06,143.83245849609372,194.57622188880381
2022-06-07,146.36187744140628,194.80797752687667
2022-06-08,145.62368774414068,195.22613927486523
2022-06-09,140.38771057128903,195.30999663142586
2022-06-10,134.9647216796875,195.0154443033051
2022-06-13,129.79763793945312,194.86904496563534
2022-06-14,130.6637268066406,195.35331844782482
2022-06-15,133.2915496826172,195.64821067467096
2022-06-16,128.006362915039,195.24224709913182
2022-06-17,129.48266601562497,194.46999551263613
2022-06-20,131.60363769531244,194.5317012375882
2022-06-21,133.72460937499997,194.77852355272807
2022-06-22,133.21281433105463,194.51450289811683
2022-06-23,136.0867309570312,193.65381331797695
2022-06-24,139.42320251464847,192.93885789603695
2022-06-27,139.42320251464847,194.84283584128625
2022-06-28,135.26983642578128,195.22499956527778
2022-06-29,137.03157043457028,195.03103650079282
2022-06-30,134.5611724853516,194.57703341583547
2022-07-01,136.73628234863284,194.74628586459912
2022-07-04,138.0305328369141,199.77114679470125
2022-07-05,139.32478332519528,200.8805866787441
2022-07-06,140.66329956054688,201.39826673090613
2022-07-07,144.0391540527344,201.5424776582326
2022-07-08,144.71821594238284,201.8927841053202
2022-07-11,142.58248901367188,204.41050164887412
2022-07-12,143.5568695068359,205.01208751742428
2022-07-13,143.19271850585938,205.6748771596584
2022-07-14,146.1256713867188,206.23077841773025
2022-07-15,147.79879760742182,206.71720137988575
2022-07-18,144.74777221679682,207.7270496810759
2022-07-19,148.61572265625006,208.2056232953751
2022-07-20,150.6235046386719,208.86775404488083
2022-07-21,152.8970336914062,209.113629977636
2022-07-22,151.65690612792972,208.81559103075378
