ds,yhat,yhat_lower,yhat_upper,y,cutoff
2007-09-28,3.0476709751822124,3.0268450921875196,3.066168358482813,3.0505387006092795,2007-09-27
2007-10-01,3.057612609998939,3.0371387756588764,3.077451158551809,3.0610066412530386,2007-09-27
2007-10-02,3.059004039145606,3.0393893141410944,3.077555733089021,3.058652501355177,2007-09-27
2007-10-03,3.0658577614051294,3.045003035182938,3.0852503255734334,3.0501992754841822,2007-09-27
2007-10-04,3.0689985551144816,3.048784357030424,3.0901155962343307,3.0589890698168394,2007-09-27
2007-10-05,3.07167079804917,3.0500898330591335,3.0909783920368983,3.063355252189642,2007-09-27
2007-10-08,3.0728787293442967,3.0498228195454575,3.093203509391313,3.063355252189642,2007-09-27
2007-10-09,3.071224223414373,3.046190898865486,3.0930162881422767,3.072030485684589,2007-09-27
2007-10-10,3.0762564972727944,3.0542423057068135,3.0990279603629847,3.0763401302916473,2007-09-27
2007-10-11,3.078650792898471,3.053776726140419,3.100882946281305,3.065698271151894,2007-09-27
2007-10-12,3.0816944811153077,3.0554615536254013,3.1041274784680675,3.0743532898098413,2007-09-27
2007-10-15,3.092529718583339,3.06383487828032,3.1179324223582268,3.070035232658349,2007-09-27
2007-10-16,3.095611945201739,3.064490420244037,3.121016675168538,3.0793133598190177,2007-09-27
2007-10-17,3.104574075014583,3.071862075780845,3.1314594283496313,3.1040698159456834,2007-09-27
2007-10-18,3.1095460847077874,3.07477250960074,3.139442510939993,3.1066408771496157,2007-09-27
2007-10-19,3.114276304467421,3.07674360279312,3.146372973952494,3.0743532898098413,2007-09-27
2007-10-22,3.129568291890131,3.086644048288611,3.164643098552796,3.0855600374869203,2007-09-27
2007-10-23,3.132734599863727,3.0883500888756603,3.167899573578793,3.0982616559694813,2007-09-27
2007-10-24,3.14048753200269,3.087372338887747,3.1813151676978104,3.10952489892858,2007-09-27
2007-10-25,3.1436436733247333,3.084982742767018,3.1900627517820648,3.132929027718634,2007-09-27
2007-10-26,3.1473225519717953,3.078876317139743,3.1953285380016085,3.2237100075860217,2007-09-27
2007-10-29,3.1690120782342457,3.1015057088707785,3.2162985995195954,3.210491777738346,2007-09-27
2007-10-30,3.175981363310139,3.1050799280657206,3.2307427614496724,3.2390078830226465,2007-09-27
2007-10-31,3.1880834497168435,3.1077718479284755,3.2511657008739157,3.273275054391403,2007-09-27
2007-11-01,3.1964302813042242,3.1109679813241984,3.2658810445652477,3.2800436556226993,2007-09-27
2007-11-02,3.2061828149347784,3.1152753511064724,3.2790780582232935,3.2800436556226993,2007-09-27
2007-11-05,3.2406214751567184,3.1452634582303536,3.3199993607224947,3.271099346707809,2007-09-27
2007-11-06,3.247193534422758,3.150186861274083,3.3278233116430727,3.262349086827074,2007-09-27
2007-11-07,3.257602234043353,3.153480569807133,3.347072025502251,3.2376014545998766,2007-09-27
2007-11-08,3.2641990248392583,3.1464397720493444,3.3659169294465996,3.215397492438738,2007-09-27
2007-11-09,3.2729902147987464,3.151854372201317,3.376232400592919,3.185893140329281,2007-09-27
2007-11-12,3.30960739424576,3.1745034805404164,3.4252864998995767,3.175462362244184,2007-09-27
2007-11-13,3.318858133958423,3.1818737137620454,3.4324408360815424,3.2106057138873743,2007-09-27
