Stock,RMSE,MAE
Apple,220.54157097213968,173.11678296734502
GeneralElectric,87.9133474851386,63.94924429092805
IBM,71.64793150168038,52.27369818447324
Johnson&Johnson,22.88440219117792,18.507505663116575
Microsoft,272.1464289539256,223.96761131364784
