Date,Actual,Forecast
2021-07-21,272.21575927734375,269.47146102308733
2021-07-22,276.80108642578125,273.02785870189405
2021-07-23,280.21588134765614,274.5145957676652
2021-07-26,279.6160888671875,273.07641522792613
2021-07-27,277.18801879882807,272.80438832644603
2021-07-28,276.87841796875,269.17025115900225
2021-07-29,277.1493530273438,271.4149175845883
2021-07-30,275.6112060546875,270.6793608527251
2021-08-02,275.5241394042968,274.251700005015
2021-08-03,277.7489929199218,275.7451013366109
2021-08-04,277.15893554687506,274.3004741845948
2021-08-05,280.07073974609364,274.02722792858003
2021-08-06,280.0126647949218,270.37680082212466
2021-08-09,278.91955566406256,272.6315289150308
2021-08-10,277.0913085937499,271.89267506647946
2021-08-11,277.58465576171886,275.48102714955274
2021-08-12,280.35131835937494,276.9811226193968
2021-08-13,283.29202270507807,275.53001995830755
2021-08-16,284.98495483398443,275.25554888202856
2021-08-17,283.5145263671875,271.5887588172723
2021-08-18,281.7797241210936,273.8535936786984
2021-08-19,287.63372802734364,273.1114279342068
2021-08-20,294.99011230468744,276.71586472566946
2021-08-23,295.2711486816406,278.2226843400874
2021-08-24,293.30358886718756,276.7650771435997
2021-08-25,292.712432861328,276.4893757568269
2021-08-26,289.8823242187501,272.8061493871732
2021-08-27,290.492919921875,275.08113632048435
2021-08-30,294.2437744140626,274.33564383455257
2021-08-31,292.5863952636718,277.95623743375216
2021-09-01,292.53793334960943,279.4698113335725
2021-09-02,291.87884521484375,278.00567044525104
2021-09-03,291.8692016601562,277.728733233145
2021-09-06,291.4039459228516,274.0289968832228
2021-09-07,290.93869018554693,276.3141813948554
2021-09-08,290.9677734375,275.5653472554389
2021-09-09,288.0989685058594,279.20217008490675
2021-09-10,286.6063232421875,280.7225285460636
2021-09-13,287.8468933105468,279.25182467878
2021-09-14,290.560791015625,278.97364610178124
2021-09-15,295.4359130859375,275.2573257659712
2021-09-16,295.8236083984375,277.5527535663432
2021-09-17,290.6382446289062,276.80056279455454
2021-09-20,285.23974609374994,280.4536876014543
2021-09-21,285.72436523437494,281.98086103559285
2021-09-22,289.3879699707031,280.50356477094005
2021-09-23,290.3378295898438,280.22413926465794
2021-09-24,290.1343078613282,276.49116060561227
2021-09-27,285.11383056640636,278.7968776100376
2021-09-28,274.79162597656244,278.04131515984693
2021-09-29,275.25686645507807,281.71081501742975
2021-09-30,273.24093627929676,283.24483397251487
2021-10-01,280.19982910156256,281.7609157602182
2021-10-04,274.39428710937506,281.48023773532003
2021-10-05,279.8703308105469,277.73052608247536
2021-10-06,284.0863952636718,280.0465784120823
2021-10-07,285.7728271484374,279.28762917001615
2021-10-08,285.7728271484374,282.9735774790825
2021-10-11,285.1719055175782,284.5144726400095
2021-10-12,283.8634948730468,283.023902797336
2021-10-13,287.1878967285156,282.7419666394349
2021-10-14,293.4295959472657,278.97544698751875
2021-10-15,294.84469604492193,281.30188097017253
2021-10-18,297.8298645019531,280.5395297550117
2021-10-19,298.7409667968751,284.2420002453794
2021-10-20,297.9461669921875,285.789802434588
2021-10-21,301.1929626464844,284.2925511457525
2021-10-22,299.64230346679676,284.0093512152953
2021-10-25,298.64404296874994,280.22594822282576
2021-10-26,300.5630493164063,282.5628103940552
2021-10-27,313.22100830078136,281.7970419565309
2021-10-28,314.3646240234375,285.5161086885102
2021-10-29,321.4108581542968,287.070848866601
2021-11-01,319.2300720214844,285.5668861821697
2021-11-02,322.87438964843756,285.282416814324
2021-11-03,323.717529296875,281.4820548021026
2021-11-04,326.0825195312499,283.829391906031
2021-11-05,325.7142028808593,283.06019092852006
2021-11-08,326.61550903320324,286.7959282943947
2021-11-09,325.6075134277345,288.35763756074857
2021-11-10,320.61605834960943,286.84693339704
2021-11-11,322.1959228515625,286.561188901581
2021-11-12,326.35385131835943,282.7437918511789
2021-11-15,325.72381591796875,285.1016508414591
2021-11-16,329.05792236328125,284.3290019376774
2021-11-17,329.2812805175781,288.081484663193
2021-11-18,331.36883544921875,289.65019425659307
2021-11-19,333.1554260253905,288.13271839507627
2021-11-22,329.9706726074218,287.84569305627275
2021-11-23,327.8830261230469,284.01118460851035
2021-11-24,328.10635375976574,286.3796126492639
2021-11-25,324.11074829101557,285.6035003639585
2021-11-26,320.11514282226557,289.3728035098172
2021-11-29,326.86346435546864,290.9485448090737
2021-11-30,320.9986877441405,289.42426689576394
2021-12-01,320.5035400390625,289.13595497226413
2021-12-02,319.9306640625,285.28425842568333
2021-12-03,313.6386413574218,287.6633028924438
2021-12-06,316.72640991210943,286.88371170108417
2021-12-07,325.2032165527344,290.669910664446
2021-12-08,325.2516784667969,292.252715189024
2021-12-09,323.43591308593756,290.72160473387544
2021-12-10,332.60205078125006,290.43200045859203
2021-12-13,329.55319213867193,286.56303876792225
2021-12-14,318.81399536132824,288.9527472485831
2021-12-15,324.94094848632807,288.16966155705023
2021-12-16,315.47378540039057,291.9728320730412
2021-12-17,314.40576171875,293.56273148369115
2021-12-20,310.62863159179676,292.02475785998695
2021-12-21,317.7945251464845,291.7338554399818
2021-12-22,323.53308105468744,287.84755121459875
2021-12-23,324.97982788085926,290.24797151036506
2021-12-24,328.7472381591796,289.46137565463965
2021-12-27,332.5146484375,293.28159379786695
2021-12-28,331.34951782226557,294.87861989725775
2021-12-29,332.0292053222656,293.3337523409976
