Date,Actual,Predicted
2021-07-16,-1.027111053466804,0.008333045000236572
2021-07-19,-2.6900711059570312,0.00443803363985076
2021-07-20,3.423717498779297,0.004498024723613249
2021-07-21,1.85859680175782,0.0044971007391115345
2021-07-22,-1.85859680175782,0.0044971149703490094
2021-07-23,0.048919677734375,0.004497114751159056
2021-07-26,1.0271034240722583,0.0044971147545350264
2021-07-27,0.7825736999511861,0.00449711475448303
2021-07-28,0.2445640563964772,0.00449711475448383
2021-07-29,0.7825698852539062,0.004497114754483818
2021-07-30,-1.6629676818847656,0.004497114754483818
2021-08-02,-1.8341293334960935,0.004497114754483818
2021-08-03,1.5039787292480398,0.004497114754483818
2021-08-04,-0.0917015075683522,0.004497114754483818
2021-08-05,0.0672531127929687,0.004497114754483818
2021-08-06,0.9170570373535156,0.004497114754483818
2021-08-09,-0.4952049255371094,0.004497114754483818
2021-08-10,1.4489784240722656,0.004497114754483818
2021-08-11,-0.0244598388671875,0.004497114754483818
2021-08-12,0.2934417724609375,0.004497114754483818
2021-08-13,-0.978179931640625,0.004497114754483818
2021-08-16,-0.959880828857422,0.004497114754483818
2021-08-17,-1.0576858520507812,0.004497114754483818
2021-08-18,-0.1283760070800781,0.004497114754483818
2021-08-19,-1.216655731201172,0.004497114754483818
2021-08-20,0.3851661682128906,0.004497114754483818
2021-08-23,0.5624809265136719,0.004497114754483818
2021-08-24,1.4061737060546875,0.004497114754483818
2021-08-25,0.8742637634277344,0.004497114754483818
2021-08-26,-0.8070259094238281,0.004497114754483818
2021-08-27,1.6568489074707031,0.004497114754483818
2021-08-30,-0.5502471923828125,0.004497114754483818
2021-08-31,0.1345062255859375,0.004497114754483818
2021-09-01,-1.0699234008789062,0.004497114754483818
2021-09-02,1.5895919799804688,0.004497114754483818
2021-09-03,-0.923187255859375,0.004497114754483818
2021-09-07,-0.8926048278808594,0.004497114754483818
2021-09-08,-0.43408203125,0.004497114754483818
2021-09-09,0.43408203125,0.004497114754483818
2021-09-10,-0.7886848449707031,0.004497114754483818
2021-09-13,1.5039901733398438,0.004497114754483818
2021-09-14,-2.49441909790039,0.004497114754483818
2021-09-15,1.0882453918457031,0.004497114754483818
2021-09-16,-0.5013236999511719,0.004497114754483818
2021-09-17,-0.5319023132324219,0.004497114754483818
2021-09-20,-0.40350341796875,0.004497114754483818
2021-09-21,-1.828033447265618,0.004497114754483818
2021-09-22,1.0515785217285083,0.004497114754483818
2021-09-23,2.7022857666015625,0.004497114754483818
2021-09-24,0.5629081726074148,0.004497114754483818
2021-09-27,0.9483795166015696,0.004497114754483818
2021-09-28,0.2324981689453125,0.004497114754483818
2021-09-29,0.3365249633789062,0.004497114754483818
2021-09-30,-1.9885177612304688,0.004497114754483818
2021-10-01,1.707061767578125,0.004497114754483818
2021-10-04,-0.5628814697265625,0.004497114754483818
2021-10-05,0.0,0.004497114754483818
2021-10-06,-0.348785400390625,0.004497114754483818
2021-10-07,0.7219924926757812,0.004497114754483818
2021-10-08,-0.483367919921875,0.004497114754483818
2021-10-11,-0.3915786743164062,0.004497114754483818
2021-10-12,-0.8321266174316406,0.004497114754483818
2021-10-13,-0.2202606201171804,0.004497114754483818
2021-10-14,0.2324943542480397,0.004497114754483818
2021-10-15,1.0217933654785156,0.004497114754483818
2021-10-18,-0.177417755126946,0.004497114754483818
2021-10-19,0.3732147216796804,0.004497114754483818
2021-10-20,0.7770538330078125,0.004497114754483818
2021-10-21,-1.7437705993652344,0.004497114754483818
2021-10-22,0.5506591796875,0.004497114754483818
2021-10-25,0.7648277282714844,0.004497114754483818
2021-10-26,1.3093490600585938,0.004497114754483818
2021-10-27,-2.196544647216797,0.004497114754483818
2021-10-28,0.8627052307128906,0.004497114754483818
2021-10-29,-0.2386245727539062,0.004497114754483818
2021-11-01,0.8321151733398438,0.004497114754483818
2021-11-02,0.2814559936523437,0.004497114754483818
2021-11-03,-0.4405136108398437,0.004497114754483818
2021-11-04,-0.4650192260742187,0.004497114754483818
2021-11-05,2.15985107421875,0.004497114754483818
2021-11-08,-0.19580078125,0.004497114754483818
2021-11-09,1.7560195922851562,0.004497114754483818
2021-11-10,-1.4256134033203125,0.004497114754483818
2021-11-11,-1.1992263793945312,0.004497114754483818
2021-11-12,0.3609771728515625,0.004497114754483818
2021-11-15,-0.5629119873046875,0.004497114754483818
2021-11-16,-2.0313453674316406,0.004497114754483818
2021-11-17,-0.8321189880371094,0.004497114754483818
2021-11-18,-0.807647705078125,0.004497114754483818
2021-11-19,-0.4344100952148437,0.004497114754483818
2021-11-22,0.6608009338378906,0.004497114754483818
2021-11-23,0.6363296508789062,0.004497114754483818
2021-11-24,0.0917739868164062,0.004497114754483818
2021-11-26,-2.6860389709472656,0.004497114754483818
2021-11-29,0.3426322937011719,0.004497114754483818
2021-11-30,-2.0864181518554688,0.004497114754483818
2021-12-01,-1.2175941467285156,0.004497114754483818
2021-12-02,1.36444091796875,0.004497114754483818
2021-12-03,-1.5051612854003906,0.004497114754483818
2021-12-06,1.9824104309082031,0.004497114754483818
2021-12-07,0.9422569274902344,0.004497114754483818
2021-12-08,0.4466514587402344,0.004497114754483818
2021-12-09,-0.2753410339355469,0.004497114754483818
2021-12-10,-0.5384292602539062,0.004497114754483818
2021-12-13,-2.3372764587402344,0.004497114754483818
2021-12-14,-0.6240997314453125,0.004497114754483818
2021-12-15,-0.0183448791503906,0.004497114754483818
2021-12-16,0.2753181457519531,0.004497114754483818
2021-12-17,-0.6608047485351562,0.004497114754483818
2021-12-20,-0.8512039184570312,0.004497114754483818
2021-12-21,1.8861503601074217,0.004497114754483818
2021-12-22,0.0061225891113281,0.004497114754483818
2021-12-23,0.5695266723632812,0.004497114754483818
2021-12-27,0.3796844482421875,0.004497114754483818
2021-12-28,0.4164276123046875,0.004497114754483818
2021-12-29,-0.3123207092285156,0.004497114754483818
2021-12-30,-0.05511474609375,0.004497114754483818
2021-12-31,-0.1408500671386718,0.004497114754483818
2022-01-03,1.0839347839355469,0.004497114754483818
2022-01-04,1.9167747497558665,0.004497114754483818
2022-01-05,0.0,0.004497114754483818
2022-01-06,0.3551826477050781,0.004497114754483818
2022-01-07,0.8879737854003906,0.004497114754483818
2022-01-10,-1.2125473022461009,0.004497114754483818
2022-01-11,1.4513778686523509,0.004497114754483818
2022-01-12,0.2755699157714772,0.004497114754483818
2022-01-13,0.1347389221191406,0.004497114754483818
2022-01-14,0.4286575317382812,0.004497114754483818
2022-01-18,-0.16534423828125,0.004497114754483818
2022-01-19,-1.3901214599609304,0.004497114754483818
2022-01-20,-1.451366424560554,0.004497114754483818
2022-01-21,-1.1941642761230469,0.004497114754483818
2022-01-24,0.373565673828125,0.004497114754483818
2022-01-25,-3.5518722534179616,0.004497114754483818
2022-01-26,-1.096172332763686,0.004497114754483818
2022-01-27,0.3551864624023508,0.004497114754483818
2022-01-28,1.3472557067871094,0.004497114754483818
2022-01-31,1.4574851989746094,0.004497114754483818
2022-02-01,2.125,0.004497114754483818
2022-02-02,0.0551185607910156,0.004497114754483818
2022-02-03,0.1714630126953196,0.004497114754483818
2022-02-04,0.4225502014160085,0.004497114754483818
2022-02-07,0.5450210571289062,0.004497114754483818
2022-02-08,-0.3613090515136719,0.004497114754483818
2022-02-09,-0.0367355346679616,0.004497114754483818
2022-02-10,-0.2816963195800852,0.004497114754483818
2022-02-11,-1.2002983093261648,0.004497114754483818
2022-02-14,-0.1408424377441477,0.004497114754483818
2022-02-15,2.6455307006835938,0.004497114754483818
2022-02-16,0.3000717163085937,0.004497114754483818
2022-02-17,-1.8065605163574217,0.004497114754483818
2022-02-18,-3.533485412597649,0.004497114754483818
2022-02-22,0.8940887451171804,0.004497114754483818
2022-02-23,-0.9185829162597656,0.004497114754483818
2022-02-24,-0.0673599243164062,0.004497114754483818
2022-02-25,2.345447540283196,0.004497114754483818
2022-02-28,-0.5266532897949148,0.004497114754483818
2022-03-01,-1.9473991394042895,0.004497114754483818
2022-03-02,1.1206703186035083,0.004497114754483818
2022-03-03,-1.0471878051757812,0.004497114754483818
2022-03-04,-2.02700424194336,0.004497114754483818
2022-03-07,-2.2556228637695312,0.004497114754483818
2022-03-08,1.6978492736816406,0.004497114754483818
2022-03-09,1.9001007080078125,0.004497114754483818
2022-03-10,0.0490493774414062,0.004497114754483818
2022-03-11,0.5822944641113281,0.004497114754483818
2022-03-14,0.1041908264160156,0.004497114754483818
2022-03-15,-0.0612945556640625,0.004497114754483818
2022-03-16,1.4404144287109375,0.004497114754483818
2022-03-17,0.5087432861328125,0.004497114754483818
2022-03-18,0.0367698669433593,0.004497114754483818
2022-03-21,-0.4719619750976562,0.004497114754483818
2022-03-22,0.0490303039550781,0.004497114754483818
2022-03-23,-0.7355232238769531,0.004497114754483818
2022-03-24,0.2574348449707031,0.004497114754483818
2022-03-25,-0.0612945556640625,0.004497114754483818
2022-03-28,-1.2381401062011648,0.004497114754483818
2022-03-29,1.624298095703118,0.004497114754483818
2022-03-30,-0.0429153442382812,0.004497114754483818
2022-03-31,-1.8878517150878904,0.004497114754483818
2022-04-01,0.6068077087402273,0.004497114754483818
2022-04-04,-0.2880783081054616,0.004497114754483818
2022-04-05,-1.176849365234375,0.004497114754483818
2022-04-06,-0.116455078125,0.004497114754483818
2022-04-07,-0.2758216857910156,0.004497114754483818
2022-04-08,0.1716232299804687,0.004497114754483818
2022-04-11,-0.0429153442382812,0.004497114754483818
2022-04-12,0.2022857666015554,0.004497114754483818
2022-04-13,0.4596939086914133,0.004497114754483818
2022-04-14,0.0490417480468821,0.004497114754483818
2022-04-18,-0.263561248779304,0.004497114754483818
2022-04-19,0.9194068908691406,0.004497114754483818
2022-04-20,-0.3064689636230469,0.004497114754483818
2022-04-21,0.1961326599121093,0.004497114754483818
2022-04-22,-1.6242828369140625,0.004497114754483818
2022-04-25,0.4964752197265625,0.004497114754483818
2022-04-26,-5.694210052490234,0.004497114754483818
2022-04-27,-1.4587974548339844,0.004497114754483818
2022-04-28,-0.2942085266113281,0.004497114754483818
2022-04-29,-1.949146270751953,0.004497114754483818
2022-05-02,0.6129341125488281,0.004497114754483818
2022-05-03,1.2932968139648509,0.004497114754483818
2022-05-04,1.6978530883788991,0.004497114754483818
2022-05-05,-1.1278114318847727,0.004497114754483818
2022-05-06,-0.220661163330071,0.004497114754483818
2022-05-09,-3.224060058593743,0.004497114754483818
2022-05-10,0.2083930969238139,0.004497114754483818
2022-05-11,-0.5332565307617045,0.004497114754483818
2022-05-12,0.5148658752441335,0.004497114754483818
2022-05-13,1.0849113464355469,0.004497114754483818
2022-05-16,-0.2574348449707031,0.004497114754483818
2022-05-17,1.08489990234375,0.004497114754483818
2022-05-18,-0.7355308532714773,0.004497114754483818
2022-05-19,0.3310012817382741,0.004497114754483818
2022-05-20,-0.30035400390625,0.004497114754483818
2022-05-23,0.12872314453125,0.004497114754483818
2022-05-24,-0.5761566162109375,0.004497114754483818
2022-05-25,0.0061302185058593,0.004497114754483818
2022-05-26,1.5200843811035227,0.004497114754483818
2022-05-27,1.072639465332024,0.004497114754483818
2022-05-31,-0.2880821228027344,0.004497114754483818
2022-06-01,-0.471954345703125,0.004497114754483818
2022-06-02,0.2942008972167969,0.004497114754483818
2022-06-03,-0.6313247680664062,0.004497114754483818
2022-06-06,0.0183944702148437,0.004497114754483818
2022-06-07,0.6129302978515625,0.004497114754483818
2022-06-08,-0.514862060546875,0.004497114754483818
2022-06-09,-1.45880126953125,0.004497114754483818
2022-06-10,-2.175933837890625,0.004497114754483818
2022-06-13,-2.151416778564453,0.004497114754483818
2022-06-14,0.2022666931152343,0.004497114754483818
