,Close
10057,-0.00016240589015070056
10058,-0.0005073098885199009
10059,-0.0001420753655674012
10060,-0.0006900760915681987
10061,-6.085752633490024e-05
10062,-0.00024350457612550003
10063,0.0015220190305029989
10064,-0.001907584078038798
10065,0.00048699425809389796
10066,0.00040690837480890016
10067,0.00028477628573730235
10068,-0.003010719831340901
10069,0.0013019429636591008
10070,-0.0009561602100148017
10071,0.000630559039381702
10072,-0.002441092789080201
10073,0.0
10074,-0.0003051365986351008
10075,0.0032752549574383994
10076,-0.00032545222906110033
10077,-0.0011595995032619988
10078,-0.0014443906831565004
10079,-0.00044758431813259926
10080,-0.0014646616311109004
10081,0.0019529963633530996
10082,-0.0016274845576632994
10083,0.0001627633499234997
10084,-0.002197052023295199
10085,-0.00016283782070959998
10086,0.0031735874403648993
10087,-8.13667808045003e-05
10088,-0.00036618774901359986
10089,0.0013019876461307003
10090,8.138167496180015e-05
10091,-0.0014850666264803
10092,-0.0005492816235203
10093,-0.0009561155275432005
10094,0.0006510236113797998
10095,-0.0018309089567533996
10096,-0.0014850368381657993
10097,-0.0023191394298952006
10098,0.0013222883823995005
10099,-0.000427134640291601
10100,-0.0012002456582712994
10101,0.0011798704512163997
10102,0.0030717858758766998
10103,0.00174948259932
10104,-0.00028482096820899895
10105,0.0004679893135017994
10106,-0.0006916995547035006
10107,-0.0005900320376299988
10108,-0.0002439960833133005
10109,0.0016273654044057003
10110,0.0015257276756468
10111,0.003946564410929599
10112,-0.0020343035675289
10113,2.0345418740401466e-05
10114,0.0003051365986350002
10115,0.00048826026145629836
10116,0.0018104741730697003
10117,0.0014037296339899988
10118,-0.002034348250000498
10119,0.0003255266998469994
10120,0.00028479117989459873
10121,-0.00022375492367320005
10122,-0.0009561602100147983
10123,-0.0011798853453735998
10124,-0.001810563538012901
10125,0.0009357701088027002
10126,-0.0005899426726867999
10127,-0.0010781880399859008
10128,0.0036821186497756012
10129,0.00026446065531129936
10130,0.0012409960723810017
10131,-0.0005302766789282015
10132,-0.0006321378200453004
10133,0.002345144628373
10134,0.0011418754561895
10135,-0.000387486393815098
10136,0.0023858503600112
10137,0.0020596385289326988
10138,0.0007136535424218
10139,0.0017945672131760015
10140,-0.0009788589055934015
10141,0.0014274411322586014
10142,0.001651747139748399
10143,0.0
10144,0.0006321080317308984
10145,-2.0434783683697527e-05
10146,-0.0004077722359267025
10147,0.0006322122908313001
10148,-0.0011419946094470002
10149,-0.0004485971208223992
10150,0.0014477865509991
10151,-0.0008564587216923006
10152,-0.0024877561835997992
10153,-0.0010808540941253005
10154,-0.002059519375675098
10155,-0.004588145126642202
10156,-0.001182804600185501
10157,0.0008157083075826001
10158,-0.00032621183107849755
10159,-0.001243885538878501
10160,-0.0005709973047236007
10161,0.0013050707366719025
10162,0.0002038861179633998
10163,0.0005302468906137996
10164,-0.0009993085834343017
10165,0.00010203987100350018
10166,-0.0013051303133006995
10167,-0.00040787649502710063
10168,-0.00028531247539670054
10169,-0.00022442516074739835
10170,0.001121604508235001
