,Close
1,-2.1043327061500002e-05
2,4.207969949049999e-05
3,-2.220567797569999e-05
4,-0.0001344265555094
5,1.1692591825068764e-05
6,5.1428580158291264e-05
7,3.50745299800264e-06
8,-5.961418262752285e-05
9,3.272942789623451e-05
10,-3.974387025007433e-05
11,0.0001367623847498
12,-5.1431362011208475e-05
13,7.24732981462085e-05
14,0.0002454707092218
15,0.00018468397555239992
16,-0.00016715320155269995
17,0.0001052022624004
18,-9.935851651979999e-05
19,-5.493649679850002e-05
20,4.673049407400006e-06
21,-1.5194017474900003e-05
22,3.506062071499975e-06
23,3.389826980080001e-05
24,-3.740433187229998e-05
25,1.1690273614300018e-05
26,8.532731360119997e-05
27,3.7405259156600055e-05
28,-7.363982184000004e-05
29,-4.677685829100023e-06
30,0.00030157651156700004
31,-1.4026566496799981e-05
32,0.0001285800277758
33,0.00017884301152470007
34,1.0520040783199925e-05
35,-6.779700324380006e-05
36,-0.00014143728872589997
37,3.039035316059998e-05
38,0.00015663686990690013
39,0.00016714856513099993
40,6.429325938299988e-05
41,-0.00012624651674619986
42,-2.4541970858300106e-05
43,0.0001519564022248001
44,7.480912738670005e-05
45,-4.675645803520006e-05
46,-0.0002758601350981
47,0.00014728196189090002
48,0.00014844987651109996
49,9.701990542629996e-05
50,-8.065426419379997e-05
51,-0.00011338415573230011
52,-0.00012623909847149983
53,-4.6757848961800083e-05
54,-0.0001087073971875
55,0.0001426042760618
56,-0.00027352013307810005
57,0.000524835979107
58,3.0388498591900088e-05
59,-6.54574648659e-05
60,-0.00014377497253509992
61,0.0003191091401353
62,0.00014026891046359995
63,-5.610765691390013e-05
64,0.00013208423527870015
65,-8.065333690960002e-05
66,0.00010871017904059998
67,-0.00018936027045489997
68,-0.00010987855730300007
69,0.0003646976835504001
70,-1.052189535190014e-05
71,0.0002863806395234003
72,0.00022209479841499985
73,-8.182449702489984e-05
74,-0.00010754133713600017
75,-3.857178285040022e-05
76,2.4544289069200042e-05
77,0.00012507350206220026
78,4.208155405910005e-05
79,-1.0519577140999988e-05
80,9.70203690684999e-05
81,0.00031209191592849973
82,-5.025881096939978e-05
83,4.668876627800071e-06
84,4.675877624609999e-05
85,0.00018235092816489993
86,6.896352693750015e-05
87,0.00026066982676049974
88,3.740108637710019e-05
89,-0.00018234582810110027
90,-3.273220974919994e-05
91,0.00044184542203050013
92,0.00012039859808610004
93,-9.468407618589986e-05
94,0.0002606651903388998
95,-1.1691200898600144e-05
96,1.519633568570003e-05
97,2.922800224640018e-05
98,6.779283046429987e-05
99,8.180502405400261e-06
100,-0.0003471585639917003
101,1.98726305883001e-05
102,-0.0001250758202729998
103,3.156197691819981e-05
104,8.532592267480009e-05
