,Close
5029,-0.00020848431750650036
5030,0.0002501621274237
5031,4.170067421810017e-05
5032,-0.00019456757966090053
5033,0.00043083964425670064
5034,0.0012369129528568001
5035,0.000611513350372999
5036,9.727997911360142e-05
5037,0.0006115324039569978
5038,-0.0008755884049252982
5039,0.0003057681073369012
5040,-0.0005559416669111018
5041,0.0004447525713854993
5042,-0.0003057528644695995
5043,0.0002230183914778
5044,-0.000543640672999399
5045,0.00029273545579480004
5046,-0.0001812186386222006
5047,-0.0001393731571648002
5048,0.0002648410086344005
5049,-5.5750787152700904e-05
5050,-8.366047718029977e-05
5051,0.0003066826793749998
5052,-8.364904502989982e-05
5053,0.0002509128386381995
5054,4.18226171564999e-05
5055,0.00027878442149770026
5056,-0.0002509052172045001
5057,-0.0002509280815056001
5058,-2.7863961425799583e-05
5059,-0.00020907497861439965
5060,-0.00033455807295129994
5061,-4.18188064397005e-05
5062,4.18188064397005e-05
5063,-0.00018120339575490065
5064,-0.00023696561505799976
5065,-5.575078715260029e-05
5066,-0.0002787996643650991
5067,-9.754672929129966e-05
5068,-0.00022304506649560053
5069,-0.0004878822644130993
5070,-0.0002090787893312008
5071,-9.75734043092008e-05
5072,0.0
5073,9.75734043092008e-05
5074,0.00046000306011989914
5075,0.0003763502043733005
5076,-0.0002927087807769995
5077,-0.00032062228152160074
5078,-0.0007248402580373996
5079,-0.0004321200451100002
5080,8.366047718040039e-05
5081,-0.00019515061933519928
5082,-0.00018122626005580116
5083,-6.969801073289893e-05
5084,-0.000153350866479501
5085,0.0004042751372682011
5086,0.0001114901421547989
5087,-0.0001951277550341999
5088,5.573554428540094e-05
5089,0.000724859311621499
5090,-0.00041820330726429975
5091,-1.3931980713000405e-05
5092,0.0004460558365398
5093,-9.756959359239967e-05
5094,0.00011152062788940056
5095,-0.0003624258450940013
5096,0.0009478510280816008
5097,0.00023698466864219975
5098,0.0003624182236603001
5099,0.0006969724858947
5100,-2.789063644360011e-05
5101,0.000306656004357201
5102,0.0004878822644130993
5103,5.576221930309912e-05
5104,-0.00012545641931909976
5105,0.00018119958503810124
5106,0.0002648562515015999
5107,0.0001254449871685992
5108,0.00029358905636360164
5109,0.000335525995024899
5110,0.0003215254214090982
5111,0.0001398190110333021
5112,0.00012582986956799838
5113,-0.0003495075150564998
5114,1.3973898598002021e-05
5115,-0.00022367383477180092
5116,-1.3989141465300253e-05
5117,-9.785920807100015e-05
5118,0.0
5119,0.0002935776242131011
5120,0.00016776299751249807
5121,-0.00022368145620539973
5122,-0.0002237005097894991
5123,8.390055234029983e-05
5124,-8.390055234029983e-05
5125,2.7974472213799367e-05
5126,-0.00036347379222089957
5127,-0.0004473705338444
5128,-5.593751227709991e-05
5129,-0.00023762867978559948
5130,-2.7997336514699878e-05
5131,-9.784396520370019e-05
5132,4.19559922454002e-05
5133,-0.0001817597604114006
5134,-0.00019571841614210092
5135,6.989616800770135e-05
5136,-0.0002516292534013014
5137,-9.787064022149898e-05
5138,-0.00016774394392840043
5139,-0.00016777824037969916
5140,0.0009646258035460997
5141,0.00018175213897769944
5142,2.7955418629699996e-05
5143,-0.00011184453881959988
5144,-6.988473585719905e-05
5145,0.0001956993625578992
5146,0.0004054335951832015
5147,-0.0002096923147401012
5148,6.989997872450075e-05
5149,-0.00027961134704870133
5150,-0.00022368526692219913
5151,0.00026562601630029936
5152,-0.0008528041290274992
5153,-8.385101302170114e-05
5154,-9.786301878779956e-05
5155,0.00016775156536190036
5156,0.0001398037681660004
5157,0.0018034446018251986
5158,0.0002935814349299022
5159,0.0002096808825895989
5160,-0.00015377004533029953
5161,-0.0005032813711037011
5162,-0.00019571460542529978
5163,-0.0005172933768699019
5164,-0.0003215139892585976
5165,-4.195599224550081e-05
5166,-0.00034948846147240045
5167,4.1917885077201456e-05
5168,-0.00041939606163060063
5169,0.0003635042779554006
5170,0.00044886433483989907
5171,-9.819074043480001e-05
5172,-0.0001542997349690007
5173,-0.00022444359957049867
5174,0.00025250571827119955
5175,-8.418254538540039e-05
5176,-4.206650303329937e-05
5177,0.0005891520640426001
5178,-0.0002525095289880007
5179,0.0003787547666898993
5180,-0.00023847084820389879
5181,-5.6101373100600135e-05
5182,-2.8058307983899744e-05
5183,0.0002104049187863985
5184,0.00026652153475420146
5185,-0.00035069264798909955
5186,0.00023845560533659882
5187,-8.415205965079872e-05
5188,0.00016834222646990027
5189,0.00018234280008569761
5190,-0.0001262452377019975
5191,0.0003226457721557975
5192,0.0005470703181420025
5193,-0.0002104201616537002
5194,-0.0008276191015298001
5195,-0.00042082889115690157
5196,0.00022444741028720093
5197,0.0
5198,-0.00015431497783630066
