Date,Close
2005-07-26,-0.2042999267578125
2005-07-27,0.29184722900392046
2005-07-28,0.2333831787109233
2005-07-29,-1.1088485717773438
2005-08-01,-0.7294769287109375
2005-08-02,0.0
2005-08-03,-0.1167449951171875
2005-08-04,-0.583595275878892
2005-08-05,-0.5836334228515625
2005-08-08,-0.14589691162110796
2005-08-09,1.1088638305664062
2005-08-10,-0.7586517333984375
2005-08-11,1.838348388671875
2005-08-12,-0.7586898803710938
2005-08-15,-0.1167449951171875
2005-08-16,-0.9629135131835938
2005-08-17,0.6419219970703125
2005-08-18,-0.3209686279297017
2005-08-19,-0.11679840087889204
2005-08-22,0.05841827392578125
2005-08-23,0.0
2005-08-24,-1.2547454833984375
2005-08-25,-0.11679077148436079
2005-08-26,-0.35015106201171875
2005-08-29,0.6419982910156108
2005-08-30,-1.0505599975585938
2005-08-31,1.0797348022460938
2005-09-01,-1.3714828491210938
2005-09-02,0.5544204711914205
2005-09-06,1.780067443847642
2005-09-07,0.2042541503906392
2005-09-08,-0.46688079833985796
2005-09-09,0.37933349609375
2005-09-12,1.313117980957017
2005-09-13,-0.4377288818359091
2005-09-14,-0.6711578369140909
2005-09-15,0.9629745483398438
2005-09-16,0.2626190185547017
2005-09-19,-1.2255935668945455
2005-09-20,-0.612770080566392
2005-09-21,-0.8463058471679545
2005-09-22,-0.08808135986328125
2005-09-23,0.29373931884762783
2005-09-26,-0.3818359375
2005-09-27,1.0868072509765625
2005-09-28,-0.44060516357419033
2005-09-29,0.46996307373045454
2005-09-30,0.05873870849609375
2005-10-03,-1.292449951171875
2005-10-04,-1.1161575317382812
2005-10-05,-0.4993438720703125
2005-10-06,2.673004150390639
2005-10-07,1.850502014160142
2005-10-10,-0.6755523681640625
2005-10-11,-0.55810546875
2005-10-12,0.0
2005-10-13,0.646209716796875
2005-10-14,0.939971923828125
2005-10-17,-0.9693298339843608
2005-10-18,-0.02939605712892046
2005-10-19,1.204322814941392
2005-10-20,-1.556770324707017
2005-10-21,-0.44066619873045454
2005-10-24,1.1749496459960795
2005-10-25,-0.6461791992187642
2005-10-26,-0.6168670654296733
2005-10-27,-0.35247039794921875
2005-10-28,1.3805389404296875
2005-10-31,-0.41120147705079546
2005-11-01,-0.9105911254882812
2005-11-02,0.6168518066406392
2005-11-03,0.49935150146484375
2005-11-04,0.11748504638671875
2005-11-07,0.0
2005-11-08,-0.7637100219726562
2005-11-09,0.46997833251953125
2005-11-10,1.70361328125
2005-11-11,0.4406585693359233
2005-11-14,-0.7343215942382812
2005-11-15,0.0
2005-11-16,0.41120147705080967
2005-11-17,0.3524780273437358
2005-11-18,3.201751708984375
2005-11-21,1.321784973144517
2005-11-22,-0.4111938476562358
2005-11-23,-0.3525390625
2005-11-25,0.7637329101562358
2005-11-28,-0.6462249755859091
2005-11-29,-0.14688873291017046
2005-11-30,-0.6168594360351562
2005-12-01,0.08818817138671875
2005-12-02,-0.7343902587890625
2005-12-05,0.7931060791015625
2005-12-06,0.08811187744140625
2005-12-07,-0.6755981445312642
2005-12-08,-0.6462097167968608
2005-12-09,0.528709411621108
2005-12-12,0.05880737304686079
2005-12-13,-0.23504638671875
2005-12-14,0.8812255859375
2005-12-15,0.67559814453125
2005-12-16,0.17627716064453125
2005-12-19,-0.7050323486328125
2005-12-20,-0.8223953247070312
2005-12-21,-0.6462707519531108
2005-12-22,1.035408020019517
2005-12-23,0.0
2005-12-27,-1.064971923828125
2005-12-28,0.1479187011718892
2005-12-29,0.23662567138671875
2005-12-30,-0.41417694091798296
2006-01-03,0.9466934204101562
2006-01-04,-0.1479034423828125
2006-01-05,-0.26622772216796875
2006-01-06,0.7099533081054688
2006-01-09,-0.26622772216796875
2006-01-10,-0.562110900878892
2006-01-11,0.7100219726562358
2006-01-12,-1.2720947265625
2006-01-13,0.29584503173828125
2006-01-17,-0.4732818603515625
2006-01-18,-0.3549957275390625
2006-01-19,-0.4142150878906392
2006-01-20,-3.8753204345702983
2006-01-23,-0.2366943359375
2006-01-24,-0.9762191772460938
2006-01-25,-0.591682434082017
2006-01-26,0.7691955566406108
2006-01-27,-0.20708465576171875
2006-01-30,-0.05921173095701704
2006-01-31,-0.5324554443359659
2006-02-01,1.1537475585937642
2006-02-02,-0.709991455078125
2006-02-03,-0.14792633056639204
2006-02-06,-0.29582977294924717
2006-02-07,-1.3016281127929545
2006-02-08,1.2720413208007812
2006-02-09,0.5325088500976562
2006-02-10,1.064964294433608
2006-02-13,-0.08872985839845171
2006-02-14,0.6212310791015625
2006-02-15,0.0
2006-02-16,-0.325439453125
2006-02-17,0.7691650390625
2006-02-21,-0.7395858764648438
2006-02-22,0.8283233642578125
2006-02-23,-0.38748931884767046
2006-02-24,-0.3575744628906108
2006-02-27,0.5364456176757812
2006-02-28,-1.3411788940429688
2006-03-01,-0.32787322998048296
2006-03-02,0.26825714111328125
2006-03-03,0.625816345214858
2006-03-06,0.1193084716796875
2006-03-07,0.14899444580078125
2006-03-08,0.8345413208007812
2006-03-09,-0.6855392456054688
2006-03-10,1.341217041015625
2006-03-13,0.05961608886717329
2006-03-14,0.3278350830078267
2006-03-15,1.9075088500976562
2006-03-16,-0.11928558349609375
2006-03-17,0.3874816894531392
2006-03-20,-0.02977752685548296
2006-03-21,-0.4768524169922017
2006-03-22,0.5662384033203267
2006-03-23,-1.2219009399414062
2006-03-24,-0.5067901611328125
2006-03-27,-0.47678375244140625
2006-03-28,-0.5662841796875
2006-03-29,0.9835205078125
2006-03-30,2.1459503173828267
2006-03-31,0.3874206542968608
2006-04-03,-0.26822662353514204
2006-04-04,0.02976989746090908
2006-04-05,-0.834480285644517
2006-04-06,0.26819610595704546
2006-04-07,-1.4305572509765767
2006-04-10,-0.32785797119140625
2006-04-11,0.387451171875
2006-04-12,1.2219619750976562
2006-04-13,-1.6988143920898295
