Date,Actual,Forecast
2021-07-21,150.93284606933594,143.737946347803
2021-07-22,151.36917114257812,143.62045920161268
2021-07-23,152.98101806640625,143.51597850687918
2021-07-26,153.05223083496094,143.07935315598883
2021-07-27,153.75575256347656,143.13764832340053
2021-07-28,153.3282928466797,143.03286587371935
2021-07-29,153.3282928466797,142.91922992595826
2021-07-30,153.34613037109375,142.82970174279507
2021-08-02,153.40847778320312,142.4971669111921
2021-08-03,155.2963409423828,142.6070085212509
2021-08-04,154.3791046142578,142.55969757653088
2021-08-05,154.67298889160156,142.50831498723608
2021-08-06,154.15650939941406,142.48440379030873
2021-08-09,154.6907958984375,142.35352096070406
2021-08-10,154.74423217773438,142.52773610845568
2021-08-11,154.7709503173828,142.54069462405715
2021-08-12,156.01763916015625,142.54458282305643
2021-08-13,156.9526824951172,142.57000329908888
2021-08-16,158.36859130859375,142.5439702845912
2021-08-17,159.8201141357422,142.7378010890241
2021-08-18,157.78973388671875,142.76210458726146
2021-08-19,159.01869201660156,142.7695494765448
2021-08-20,159.7934112548828,142.79121082261915
2021-08-23,159.10365295410156,142.7163830335237
2021-08-24,157.11497497558594,142.88478835160416
2021-08-25,156.07582092285156,142.88035020666632
2021-08-26,155.24273681640625,142.85711151210302
2021-08-27,154.91128540039062,142.84732712148815
2021-08-30,155.56521606445312,142.68397381963624
2021-08-31,155.0904541015625,142.82842124686087
2021-09-01,155.6368865966797,142.8036698968978
2021-09-02,156.70289611816406,142.76460209144065
2021-09-03,156.8014373779297,142.7439421430708
2021-09-06,155.5831527709961,142.57884319493476
2021-09-07,154.3648681640625,142.7330376426648
2021-09-08,153.9886016845703,142.7221402387682
2021-09-09,150.5576934814453,142.70070584960087
2021-09-10,149.57229614257812,142.70080235891203
2021-09-13,148.5242156982422,142.60789815138435
2021-09-14,147.62838745117188,142.78680304305288
2021-09-15,148.18380737304688,142.79892595896473
2021-09-16,148.00465393066406,142.79819266101524
2021-09-17,147.58358764648438,142.81590772685564
2021-09-20,146.74154663085938,142.7504118577943
2021-09-21,147.3865509033203,142.92885418581713
2021-09-22,146.84906005859375,142.9348888984911
2021-09-23,147.68214416503906,142.92272915051572
2021-09-24,147.23426818847656,142.92393264497548
2021-09-27,146.16827392578125,142.7824576194166
2021-09-28,145.84573364257812,142.9293717376085
2021-09-29,146.92970275878906,142.90172874746165
2021-09-30,144.6722412109375,142.8549774774849
2021-10-01,143.7495880126953,142.82175807011447
2021-10-04,142.62986755371094,142.58812117753547
2021-10-05,142.95233154296875,142.71176679274154
2021-10-06,143.2479248046875,142.66562960404204
2021-10-07,144.52894592285156,142.606163386879
2021-10-08,144.16163635253906,142.56667391992784
2021-10-11,143.55252075195312,142.35631501028584
2021-10-12,141.2592315673828,142.50257587106108
2021-10-13,142.6118927001953,142.48580699289207
2021-10-14,143.42710876464844,142.4623371826768
2021-10-15,144.4931182861328,142.46498804605173
2021-10-18,143.43605041503906,142.41021406823856
2021-10-19,146.7952880859375,142.61552135314815
2021-10-20,146.71470642089844,142.65930455211893
2021-10-21,146.37429809570312,142.69713207854144
2021-10-22,146.6609344482422,142.76087261470246
2021-10-25,146.98342895507812,142.87844559775118
2021-10-26,148.47943115234375,143.135289425683
2021-10-27,146.67886352539062,143.226144813706
2021-10-28,145.88160705566406,143.30641049702214
2021-10-29,145.90847778320312,143.4077301303795
2021-11-01,146.0338592529297,143.60802875379926
2021-11-02,148.33609008789062,143.88342574310764
2021-11-03,147.8612823486328,143.98849111646118
2021-11-04,147.44923400878906,144.07942277739838
2021-11-05,146.40115356445312,144.18854076875286
2021-11-08,145.89952087402344,144.40160385752915
2021-11-09,145.5770263671875,144.68048595279188
2021-11-10,147.15365600585938,144.78931361708186
2021-11-11,146.06973266601562,144.88511786724266
2021-11-12,147.81654357910156,145.00074984042033
2021-11-15,146.48179626464844,145.2457700207761
2021-11-16,145.72032165527344,145.54012340710742
2021-11-17,146.2667999267578,145.66613878408506
2021-11-18,145.4784698486328,145.78073590470376
2021-11-19,145.91741943359375,145.91630692075833
2021-11-22,143.99688720703125,146.2206943534104
2021-11-23,144.88951110839844,146.53230581525946
2021-11-24,144.4837646484375,146.6723205742709
2021-11-25,144.01488494873047,146.79696670495227
2021-11-26,143.54600524902344,146.9377646088076
2021-11-29,144.0419158935547,147.22031689179053
2021-11-30,140.59754943847656,147.51036948215838
2021-12-01,142.53616333007812,147.62051289634306
2021-12-02,141.6435089111328,147.7070731132528
2021-12-03,143.7083282470703,147.8016658155261
2021-12-06,146.9182891845703,147.90013319073697
2021-12-07,147.29698181152344,148.11634455615004
2021-12-08,148.18060302734375,148.14759287950082
2021-12-09,149.5872344970703,148.15171603000192
2021-12-10,149.21754455566406,148.16178283401882
2021-12-13,151.886474609375,148.00931159036898
2021-12-14,153.54554748535156,148.14860874599182
2021-12-15,154.3119659423828,148.1085751798404
2021-12-16,155.9981231689453,148.04885340431193
